elapsed [sec],memory usage (rss) [MB]
0,48.62109375
1,56.5625
2,57.91015625
3,59.16015625
4,59.41015625
5,67.7734375
6,78.796875
7,75.6484375
8,75.8984375
9,74.40625
10,77.05078125
11,78.79296875
12,75.6171875
13,70.85546875
14,70.85546875
15,72.5234375
16,75.50390625
17,74.5546875
18,76.1953125
19,73.85546875
20,73.85546875
21,71.85546875
22,72.90625
23,72.9765625
24,73.1015625
25,72.11328125
26,72.11328125
27,72.11328125
28,72.11328125
29,74.921875
30,82.16796875
31,80.25390625
32,80.25390625
33,80.25390625
34,80.25390625
35,80.25390625
36,82.25390625
37,82.25390625
38,83.08203125
39,83.08203125
40,82.1328125
41,82.1328125
42,82.1328125
43,80.7265625
44,80.7265625
45,78.0078125
46,78.0078125
47,78.0078125
48,78.0078125
49,78.0078125
50,78.0078125
51,78.0078125
52,78.0078125
53,80.828125
54,79.87109375
55,79.87109375
56,79.87109375
57,79.87109375
58,78.48046875
59,83.44140625
60,83.53125
61,83.53125
62,83.08984375
63,83.21484375
64,83.21484375
65,83.21484375
66,83.21484375
67,83.21484375
68,83.21484375
69,83.21484375
70,83.21484375
71,85.6796875
72,84.8203125
73,84.8203125
74,85.27734375
75,85.27734375
76,83.83984375
77,79.5546875
78,80.03515625
79,80.16015625
80,80.16015625
81,80.16015625
82,80.16015625
83,79.87890625
84,79.87890625
85,79.87890625
86,79.87890625
87,79.87890625
88,79.87890625
89,91.10546875
90,87.03515625
91,87.03515625
92,87.03515625
93,87.03515625
94,87.3125
95,87.3125
96,87.3125
97,87.3125
98,86.3046875
99,84.890625
100,84.890625
101,85.49609375
102,86.74609375
103,86.74609375
104,90.95703125
105,89.46875
106,89.921875
107,91.046875
108,89.66015625
109,90.91015625
110,89.765625
111,91.140625
112,89.63671875
113,89.63671875
114,89.63671875
115,89.1328125
116,89.1328125
117,89.1328125
118,89.1328125
119,79.5390625
120,79.5390625
121,79.5390625
122,79.5390625
123,79.5390625
124,79.5390625
125,79.5390625
126,79.5390625
127,79.5390625
128,81.13671875
129,82.51171875
130,82.51171875
131,81.4921875
132,81.4921875
133,84.30859375
134,84.43359375
135,84.03125
136,85.87890625
137,85.87890625
138,85.87890625
139,85.87890625
140,85.87890625
141,87.87890625
142,87.87890625
143,87.87890625
144,87.87890625
145,87.87890625
146,86.31640625
147,86.31640625
148,89.33203125
149,89.45703125
150,89.45703125
151,89.45703125
152,89.45703125
153,89.45703125
154,89.45703125
155,89.45703125
156,89.45703125
157,89.45703125
158,89.45703125
159,89.45703125
160,89.45703125
161,89.45703125
162,89.45703125
163,93.8671875
164,93.8671875
165,89.60546875
166,89.60546875
167,89.60546875
168,89.60546875
169,90.2890625
170,91.2890625
171,91.2890625
172,91.2890625
173,91.2890625
174,89.828125
175,89.828125
176,89.4296875
177,89.4296875
178,87.77734375
179,87.77734375
180,87.77734375
181,84.9296875
182,85.0546875
183,85.0546875
184,85.0546875
185,85.0546875
186,87.56640625
187,88.81640625
188,89.06640625
189,87.1875
190,87.1875
191,86.98046875
192,86.98046875
193,96.40625
194,94.16796875
195,95.1328125
196,95.1328125
197,95.1328125
198,94.62109375
199,94.62109375
200,94.62109375
201,95.328125
202,96.578125
203,96.578125
204,96.578125
205,96.578125
206,95.14453125
207,97.0078125
208,93.50390625
209,92.0703125
210,92.0703125
211,92.0703125
212,90.67578125
213,90.67578125
214,90.15625
215,90.28125
216,90.28125
217,90.28125
218,90.28125
219,90.28125
220,90.28125
221,90.28125
222,90.05078125
223,95.4609375
224,95.5859375
225,95.7109375
226,95.7109375
227,97.8359375
228,97.8359375
229,97.8359375
230,97.8359375
231,97.8359375
232,96.34375
233,98.1484375
234,97.47265625
235,97.59765625
236,97.59765625
237,96.3984375
238,90.703125
239,90.703125
240,90.703125
241,90.2734375
242,90.2734375
243,90.2734375
244,90.2734375
245,90.2734375
246,90.2734375
247,90.2734375
248,90.2734375
249,90.2734375
250,90.2734375
251,90.2734375
252,86.37890625
253,86.37890625
254,86.37890625
255,87.07421875
256,87.07421875
257,87.07421875
258,87.07421875
259,87.07421875
260,88.703125
261,90.078125
262,90.203125
263,88.21875
264,88.21875
265,86.67578125
266,87.01171875
267,83.375
268,86.25
269,87.5
270,86.74609375
271,85.2421875
272,85.2421875
273,85.2421875
274,84.87890625
275,84.87890625
276,84.87890625
277,84.87890625
278,84.87890625
279,84.87890625
280,84.87890625
281,84.87890625
282,80.734375
283,80.734375
284,80.734375
285,80.734375
286,80.734375
287,83.1953125
288,82.5390625
289,82.6640625
290,82.6640625
291,82.6640625
292,82.2890625
293,80.74609375
294,80.74609375
295,80.74609375
296,82.83984375
297,83.21484375
298,80.32421875
299,80.32421875
300,80.32421875
301,80.32421875
302,80.32421875
303,80.32421875
304,80.32421875
305,80.32421875
306,82.94921875
307,82.4609375
308,82.4609375
309,82.4609375
310,82.4609375
311,88.0859375
312,88.0859375
313,89.1015625
314,88.6640625
315,90.796875
316,90.796875
317,90.796875
318,90.796875
319,92.20703125
320,92.06640625
321,92.06640625
322,92.06640625
323,92.06640625
324,92.06640625
325,92.06640625
326,81.39453125
327,82.2734375
328,82.2734375
329,82.3984375
330,82.3984375
331,80.90625
332,80.90625
333,80.90625
334,80.90625
335,80.90625
336,80.90625
337,80.90625
338,80.90625
339,80.90625
340,80.90625
341,82.203125
342,82.203125
343,82.203125
344,82.203125
345,82.203125
346,82.203125
347,82.203125
348,82.203125
349,82.203125
350,82.203125
351,82.203125
352,82.203125
353,82.203125
354,82.203125
355,82.203125
356,82.5234375
357,82.5234375
358,82.5234375
359,82.5234375
360,82.5234375
361,82.5234375
362,82.5234375
363,82.5234375
364,82.5234375
365,82.5234375
366,82.5234375
367,82.5234375
368,82.5234375
369,82.5234375
370,82.4609375
371,82.1328125
372,82.1328125
373,82.1328125
374,82.1328125
375,81.9609375
376,81.9609375
377,81.9609375
378,81.9609375
379,81.9609375
380,81.9609375
381,81.9609375
382,81.9609375
383,81.9609375
384,81.9609375
385,82.046875
386,82.046875
387,82.046875
388,82.046875
389,82.046875
390,82.046875
391,82.046875
392,82.046875
393,82.046875
394,82.046875
