elapsed [sec],memory usage (rss) [MB]
0,48.4921875
1,57.6171875
2,58.96875
3,60.09375
4,60.09375
5,70.3125
6,85.8125
7,83.9609375
8,86.7109375
9,87.5859375
10,88.20703125
11,94.39453125
12,99.26953125
13,95.328125
14,96.453125
15,100.25
16,101.375
17,104.3671875
18,105.2421875
19,99.54296875
20,99.54296875
21,94.71484375
22,92.27734375
23,91.39453125
24,91.39453125
25,84.1328125
26,87.0078125
27,88.2578125
28,88.3828125
29,88.3828125
30,91.03125
31,83.51171875
32,86.38671875
33,87.51171875
34,87.3203125
35,84.8828125
36,84.5625
37,84.5625
38,84.5625
39,84.5625
40,84.5625
41,84.5625
42,84.5625
43,84.5625
44,84.5625
45,88.50390625
46,88.3671875
47,88.3671875
48,91.2421875
49,87.39453125
50,88.76953125
51,90.01953125
52,87.12109375
53,84.15625
54,84.15625
55,84.15625
56,83.234375
57,82.98046875
58,83.23046875
59,85.48046875
60,84.96484375
61,84.96484375
62,84.96484375
63,84.96484375
64,84.96484375
65,84.96484375
66,84.96484375
67,84.96484375
68,84.83984375
69,84.96484375
70,85.08984375
71,85.08984375
72,85.08984375
73,85.08984375
74,85.390625
75,85.390625
76,85.390625
77,90.4296875
78,90.4296875
79,89.2265625
80,92.2265625
81,93.2265625
82,93.2265625
83,90.796875
84,89.33984375
85,90.83984375
86,90.83984375
87,90.83984375
88,89.875
89,87.90234375
90,87.90234375
91,87.90234375
92,87.90234375
93,87.90234375
94,87.90234375
95,87.90234375
96,87.90234375
97,87.90234375
98,87.90234375
99,87.90234375
100,87.90234375
101,90.90234375
102,91.90234375
103,91.90234375
104,91.890625
105,91.890625
106,88.859375
107,88.859375
108,87.8828125
109,87.8828125
110,87.75390625
111,90.37890625
112,87.68359375
113,89.05859375
114,90.43359375
115,91.43359375
116,91.55859375
117,87.55859375
118,83.71484375
119,84.33984375
120,82.26953125
121,82.51953125
122,82.62890625
123,82.62890625
124,82.75390625
125,82.75390625
126,82.75390625
127,82.75390625
128,82.75390625
129,82.75390625
130,82.75390625
131,86.25390625
132,84.2265625
133,84.8203125
134,82.3984375
135,92.7734375
136,92.7734375
137,90.6875
138,91.5625
139,91.01171875
140,91.63671875
141,94.51171875
142,96.51953125
143,93.8125
144,95.1875
145,97.6875
146,96.47265625
147,97.84765625
148,91.44921875
149,92.57421875
150,92.69921875
151,91.921875
152,92.671875
153,94.421875
154,97.671875
155,99.171875
156,98.90234375
157,99.27734375
158,93.76953125
159,95.14453125
160,96.39453125
161,90.625
162,91.82421875
163,91.82421875
164,86.65625
165,88.03125
166,90.03125
167,91.40625
168,91.9921875
169,90.78515625
170,92.03515625
171,94.28515625
172,93.13671875
173,93.13671875
174,93.13671875
175,93.13671875
176,90.10546875
177,93.7890625
178,95.0390625
179,95.7890625
180,96.19140625
181,97.44140625
182,94.45703125
183,94.45703125
184,94.0
185,95.5
186,95.5
187,95.5
188,96.55078125
189,97.17578125
190,97.30078125
191,97.30078125
192,92.61328125
193,93.6640625
194,94.2890625
195,99.4140625
196,100.7890625
197,99.125
198,102.75
199,100.7421875
200,101.9921875
201,102.5546875
202,104.8046875
203,103.05078125
204,103.05078125
205,103.05078125
206,101.65625
207,95.68359375
208,95.68359375
209,101.18359375
210,102.30859375
211,100.66015625
212,100.66015625
213,99.76171875
214,99.63671875
215,99.63671875
216,99.63671875
217,99.76171875
218,99.76171875
219,99.76171875
220,102.88671875
221,104.4296875
222,104.4296875
223,104.4296875
224,104.6796875
225,101.21875
226,101.21875
227,100.390625
228,105.015625
229,106.390625
230,103.77734375
231,101.21484375
232,100.9921875
233,98.35546875
234,99.60546875
235,99.7421875
236,100.54296875
237,101.04296875
238,100.28515625
239,101.53515625
240,102.91015625
241,100.390625
242,101.1484375
243,102.3984375
244,103.7734375
245,104.16796875
246,101.4140625
247,101.5390625
248,98.80859375
249,92.95703125
250,93.75390625
251,93.74609375
252,91.00390625
253,91.75390625
254,90.296875
255,96.265625
256,94.67578125
257,96.05078125
258,99.05078125
259,100.67578125
260,100.67578125
261,100.67578125
262,99.20703125
263,100.70703125
264,100.70703125
265,101.109375
266,101.109375
267,97.14453125
268,96.49609375
269,96.49609375
270,95.30859375
271,95.55859375
272,95.55859375
273,95.55859375
274,95.43359375
275,95.43359375
276,95.43359375
277,95.43359375
278,95.43359375
279,97.80859375
280,100.3125
281,101.1875
282,100.921875
283,98.8828125
284,94.51171875
