elapsed [sec],ObjectSpace.memsize_of_all values [MB]
0,20.036417961120605
1,16.301817893981934
2,18.017098426818848
3,17.731972694396973
4,17.447361946105957
5,21.447375297546387
6,42.19311046600342
7,27.591784477233887
8,25.493255615234375
9,28.78955078125
10,32.815741539001465
11,20.979276657104492
12,20.28452968597412
13,20.41211700439453
14,24.046732902526855
15,28.62078094482422
16,24.36541175842285
17,23.84390926361084
18,28.216599464416504
19,24.51634979248047
20,28.15028476715088
21,26.283425331115723
22,28.501708030700684
23,23.666196823120117
24,27.16707992553711
25,20.60392665863037
26,19.908740997314453
27,20.61429214477539
28,23.909982681274414
29,20.28588581085205
30,27.846596717834473
31,22.915197372436523
32,25.445815086364746
33,28.741862297058105
34,26.933931350708008
35,25.11733341217041
36,28.74238681793213
37,26.943535804748535
38,25.12756633758545
39,28.432138442993164
40,26.954092025756836
41,25.146604537963867
42,28.442537307739258
43,26.626194953918457
44,25.157052040100098
45,30.66758441925049
46,26.43441104888916
47,24.699169158935547
48,23.99485969543457
49,26.27785301208496
50,24.881736755371094
51,28.168545722961426
52,26.45237922668457
53,24.718174934387207
54,28.343470573425293
55,26.618775367736816
56,24.894009590148926
57,28.19858169555664
58,26.47391700744629
59,30.669455528259277
60,26.010859489440918
61,24.369328498840332
62,27.673900604248047
63,26.041547775268555
64,24.73972988128662
65,28.027265548706055
66,26.40413475036621
67,24.773052215576172
68,28.389580726623535
69,26.766737937927246
70,25.136423110961914
71,28.57167911529541
72,27.130026817321777
73,25.49958324432373
74,27.36421012878418
75,24.631850242614746
76,27.93642234802246
77,31.27900791168213
78,26.88746929168701
79,25.37874698638916
80,25.007996559143066
81,27.480178833007812
82,25.968929290771484
83,24.53926658630371
84,24.078490257263184
85,26.5596981048584
86,25.222274780273438
87,28.66909122467041
88,27.1420316696167
89,25.62144184112549
90,28.920947074890137
91,27.537421226501465
92,26.484621047973633
93,25.110224723815918
94,28.400848388671875
95,27.356703758239746
96,25.97395420074463
97,29.273459434509277
98,28.002955436706543
99,26.83804988861084
100,25.44578742980957
101,25.07395362854004
102,27.692136764526367
103,26.318843841552734
104,27.59657859802246
105,26.344130516052246
106,29.643635749816895
107,28.713090896606445
108,27.46256160736084
109,26.22086238861084
110,25.299241065979004
111,24.598746299743652
112,27.338851928710938
113,26.417263984680176
114,29.716769218444824
115,28.46647071838379
116,27.225278854370117
117,26.28150463104248
118,27.161457061767578
119,30.522836685180664
120,22.164875984191895
121,25.464381217956543
122,22.020276069641113
123,25.65840721130371
124,22.2140474319458
125,25.504671096801758
126,22.06064224243164
127,25.699257850646973
128,22.24549102783203
129,25.554234504699707
130,22.101247787475586
