elapsed [sec],ObjectSpace.memsize_of_all values [MB]
0,20.111862182617188
1,16.295979499816895
2,18.01213264465332
3,17.728830337524414
4,17.445606231689453
5,18.237905502319336
6,18.463391304016113
7,14.674589157104492
8,14.710308074951172
9,17.997721672058105
10,21.559683799743652
11,16.36461067199707
12,16.377784729003906
13,16.07072925567627
14,15.771697998046875
15,17.522174835205078
16,16.838400840759277
17,17.174314498901367
18,20.665221214294434
19,20.570894241333008
20,20.584245681762695
21,20.841007232666016
22,19.540825843811035
23,19.561131477355957
24,19.581844329833984
25,19.931156158447266
26,19.952611923217773
27,19.9733247756958
28,20.314467430114746
29,20.345645904541016
30,19.63453769683838
31,19.69710636138916
32,19.77541732788086
33,20.150893211364746
34,20.221332550048828
35,20.283089637756348
36,20.42207431793213
37,20.738205909729004
38,20.792518615722656
39,20.85508918762207
40,20.91769790649414
41,21.318551063537598
42,21.38188648223877
43,21.43592929840088
44,21.794804573059082
45,19.48240566253662
46,19.595803260803223
47,19.701261520385742
48,20.144258499145508
49,20.258584022521973
50,20.373079299926758
51,20.4961519241333
52,20.930920600891113
53,21.054930686950684
54,21.16952610015869
55,21.283665657043457
56,21.399457931518555
57,18.66209316253662
58,18.7685546875
59,29.80931568145752
60,20.145023345947266
61,20.449172973632812
62,20.770318031311035
63,21.387659072875977
64,21.683483123779297
65,19.005468368530273
66,19.640263557434082
67,19.944583892822266
68,20.250182151794434
69,20.62025547027588
70,21.18208408355713
71,21.496716499328613
72,18.812877655029297
73,19.439376831054688
74,24.01462173461914
75,20.92613410949707
76,21.11765956878662
77,21.64670181274414
78,18.750957489013672
79,22.75530433654785
80,22.955106735229492
81,20.39970302581787
82,20.60752296447754
83,20.815507888793945
84,21.35322380065918
85,21.56136131286621
86,21.76907730102539
87,21.9775333404541
88,22.506571769714355
89,26.11580753326416
90,20.78845977783203
91,21.165721893310547
92,21.880284309387207
93,22.256258964538574
94,22.632871627807617
95,23.000473976135254
96,20.792612075805664
97,21.16977882385254
98,21.538269996643066
99,22.254167556762695
100,22.630970001220703
101,23.000272750854492
102,23.386133193969727
103,21.17294979095459
104,23.106934547424316
105,23.516923904418945
106,21.29897403717041
107,21.8532075881958
108,22.729202270507812
109,23.276127815246582
110,21.060575485229492
111,21.607446670532227
112,22.493148803710938
113,23.040212631225586
114,20.83517360687256
115,21.417282104492188
116,22.25939178466797
117,22.8066463470459
118,23.35443687438965
119,21.901927947998047
120,22.383983612060547
121,22.857112884521484
122,20.851667404174805
123,21.33432960510254
124,21.816494941711426
125,22.307310104370117
126,23.12009048461914
127,20.777191162109375
128,21.2593412399292
129,21.75201988220215
130,22.55612277984619
131,22.628067016601562
132,22.25318431854248
133,39.74566078186035
134,21.985780715942383
135,22.193333625793457
136,22.688119888305664
137,22.938435554504395
138,20.054563522338867
139,18.261374473571777
140,20.790374755859375
141,21.00674343109131
142,21.206432342529297
143,21.690403938293457
144,21.95256519317627
145,22.16106128692627
146,22.369297981262207
147,22.576899528503418
148,28.308725357055664
149,20.446125030517578
150,21.153507232666016
151,21.523157119750977
152,21.88366985321045
153,22.523762702941895
154,22.95255947113037
155,20.391618728637695
156,20.761028289794922
157,21.469048500061035
158,21.838313102722168
159,22.199440002441406
160,22.56878089904785
161,23.26795768737793
162,20.70792865753174
163,24.725515365600586
164,22.53575038909912
165,22.80290699005127
166,20.357550621032715
167,20.633678436279297
168,20.90143394470215
169,21.165892601013184
170,21.75664234161377
171,22.03390121459961
172,22.302523612976074
173,22.570735931396484
174,22.82985210418701
175,20.12021541595459
176,20.674915313720703
177,20.935439109802246
178,24.86608123779297
179,23.307395935058594
180,20.84353733062744
181,21.256807327270508
182,21.661808967590332
183,22.40566921234131
184,22.81877613067627
185,23.233152389526367
186,20.760205268859863
187,21.17530918121338
188,21.92766571044922
189,22.33363151550293
190,22.75737190246582
191,23.171829223632812
192,20.692286491394043
193,21.736960411071777
194,22.28873920440674
195,22.840291023254395
196,23.392569541931152
197,22.9351224899292
198,23.824066162109375
199,24.383063316345215
200,22.39752960205078
201,22.4866361618042
202,22.914188385009766
203,19.793898582458496
204,19.883691787719727
205,17.97271728515625
206,20.384194374084473
207,20.474750518798828
208,18.588356971740723
209,20.78218173980713
210,20.96650505065918
211,21.169179916381836
212,21.693710327148438
213,21.887998580932617
214,22.08265209197998
215,22.607213020324707
216,22.793179512023926
217,22.988232612609863
218,20.08640766143799
219,20.602005004882812
220,20.797073364257812
221,20.992368698120117
222,32.8912878036499
223,21.84267234802246
224,22.19259262084961
225,22.84803295135498
226,23.213666915893555
227,20.62339210510254
228,20.973950386047363
229,21.56824016571045
230,22.005870819091797
231,22.35629940032959
232,22.699115753173828
233,23.114562034606934
234,20.792495727539062
235,21.13576889038086
236,21.487024307250977
237,21.199771881103516
238,21.432517051696777
239,21.781349182128906
240,22.293872833251953
241,22.828737258911133
242,23.187292098999023
243,20.613980293273926
244,21.303070068359375
245,21.653674125671387
246,22.013197898864746
247,22.71138572692871
248,23.06202793121338
249,20.482410430908203
250,20.85171890258789
251,21.541790008544922
252,21.35162925720215
253,21.851417541503906
254,22.67225170135498
255,23.17230987548828
256,20.873502731323242
257,21.383769989013672
258,22.214515686035156
259,22.71491241455078
260,23.206256866455078
261,21.247669219970703
262,23.333786964416504
263,23.84076976776123
264,24.339051246643066
265,22.383962631225586
266,22.900300979614258
267,24.205559730529785
268,24.85243320465088
269,23.24372100830078
270,23.916062355041504
271,24.605958938598633
272,22.99044418334961
273,23.6798038482666
274,24.353153228759766
275,22.729251861572266
276,23.438282012939453
277,24.11161518096924
278,24.8020076751709
279,23.197174072265625
280,23.879274368286133
281,24.561644554138184
282,23.595072746276855
283,24.441102027893066
284,23.169014930725098
285,24.0390567779541
286,24.894125938415527
287,23.307292938232422
288,24.172374725341797
289,25.34970188140869
290,23.771655082702637
291,24.62894058227539
292,23.034210205078125
293,24.221467971801758
294,25.079066276550293
295,23.494046211242676
296,24.36042022705078
297,25.333334922790527
298,24.098010063171387
299,25.13624382019043
300,24.250125885009766
301,25.279932975769043
302,24.056572914123535
303,25.43333339691162
304,24.201516151428223
305,25.249013900756836
306,25.249134063720703
307,26.337281227111816
308,25.13451385498047
309,26.189976692199707
310,25.164411544799805
311,25.462557792663574
312,23.82541561126709
313,25.89655113220215
314,26.315817832946777
315,28.07538890838623
316,28.839168548583984
317,29.26626205444336
318,26.814082145690918
319,28.617511749267578
320,29.379542350769043
321,29.811816215515137
322,30.245391845703125
