elapsed [sec],ObjectSpace.memsize_of_all values [MB]
0,20.035216331481934
1,16.30679702758789
2,18.022064208984375
3,17.73810863494873
4,17.445812225341797
5,21.072165489196777
6,20.62034511566162
7,24.254884719848633
8,27.551179885864258
9,23.70625400543213
10,28.93423080444336
11,20.901881217956543
12,24.4053955078125
13,20.556471824645996
14,20.18220615386963
15,25.97679328918457
16,29.108156204223633
17,24.7188720703125
18,29.12510871887207
19,26.005783081054688
20,24.16176128387451
21,27.78681468963623
22,25.95237922668457
23,24.473050117492676
24,28.106985092163086
25,26.260709762573242
26,24.432952880859375
27,27.719761848449707
28,26.221458435058594
29,24.37650775909424
30,32.69242763519287
31,30.690804481506348
32,26.1071138381958
33,24.368041038513184
34,23.664088249206543
35,26.26351547241211
36,24.523792266845703
37,27.819482803344727
38,26.127480506896973
39,24.66303253173828
40,27.967604637145996
41,26.229413986206055
42,24.810935974121094
43,28.11550807952881
44,26.368754386901855
45,31.95498275756836
46,31.360166549682617
47,31.438623428344727
48,31.526490211486816
49,31.623149871826172
50,28.833614349365234
51,28.92176342010498
52,29.010472297668457
53,29.09061908721924
54,29.509608268737793
55,29.607707023620605
56,29.696873664855957
57,29.786423683166504
58,30.204724311828613
59,29.960615158081055
60,24.982284545898438
61,28.598456382751465
62,26.815312385559082
63,25.04112434387207
64,28.336814880371094
65,26.88372230529785
66,25.092785835266113
67,28.388476371765137
68,26.61581325531006
69,25.154817581176758
70,28.45050811767578
71,26.67819595336914
72,24.897150993347168
73,28.522446632385254
74,34.26534461975098
75,28.919028282165527
76,26.49382495880127
77,24.79558753967285
78,24.42976474761963
79,26.731593132019043
80,29.4724760055542
81,29.51749038696289
82,29.8936185836792
83,29.93055248260498
84,29.98541259765625
85,30.03158950805664
86,30.407289505004883
87,30.444984436035156
88,30.500309944152832
89,29.393840789794922
90,30.15620708465576
91,30.583253860473633
92,30.723437309265137
93,30.872973442077637
94,31.004131317138672
95,31.474812507629395
96,31.62461566925049
97,31.756296157836914
98,28.7511625289917
99,29.22110366821289
100,29.353665351867676
101,29.504602432250977
102,29.975675582885742
103,30.108925819396973
104,30.927407264709473
105,30.482869148254395
106,30.71064853668213
107,30.94812297821045
108,31.18571186065674
109,31.751822471618652
110,28.932035446166992
111,29.169610023498535
112,29.41604232788086
113,29.974392890930176
114,30.221102714538574
115,30.458348274230957
116,30.687055587768555
117,31.264470100402832
118,31.502517700195312
119,30.488104820251465
120,30.465805053710938
121,30.817825317382812
122,31.160463333129883
123,31.494257926940918
124,29.223346710205078
125,29.56684970855713
126,29.90958881378174
127,30.25282573699951
128,30.92643451690674
129,31.261374473571777
130,31.604902267456055
131,31.949460983276367
132,29.636157035827637
133,30.01625919342041
134,30.47297954559326
135,30.55530548095703
136,30.99551296234131
137,31.444128036499023
138,31.90233325958252
139,29.83501625061035
140,30.28443431854248
141,30.734670639038086
142,31.184969902038574
143,31.964884757995605
144,29.569101333618164
145,36.75197792053223
146,33.25726890563965
147,36.886518478393555
148,33.32904529571533
149,33.36838150024414
150,45.28403854370117
151,41.65180492401123
152,44.96019172668457
153,41.471035957336426
154,45.10965156555176
155,41.6215181350708
156,44.92102336883545
157,41.44131660461426
158,45.070566177368164
159,41.590962409973145
160,44.89070987701416
161,41.411556243896484
162,45.04080581665039
163,41.56224536895752
164,40.813782691955566
165,44.680481910705566
166,47.988868713378906
167,39.41786289215088
168,42.708486557006836
169,37.71356201171875
170,33.0130672454834
171,36.32145404815674
172,30.997156143188477
173,34.61752414703369
