elapsed [sec],ObjectSpace.memsize_of_all values [MB]
0,21.55129623413086
1,17.623204231262207
2,19.7341890335083
3,19.846142768859863
4,19.95811176300049
5,19.367680549621582
6,29.90526294708252
7,22.499958992004395
8,20.777119636535645
9,21.25536060333252
10,24.402799606323242
11,18.756535530090332
12,18.86010456085205
13,18.972288131713867
14,19.436262130737305
15,24.545571327209473
16,18.916996955871582
17,19.258313179016113
18,16.334280014038086
19,16.66679096221924
20,20.981470108032227
21,22.064579010009766
22,22.289060592651367
23,20.599905014038086
24,23.50593376159668
25,24.237120628356934
26,24.59855556488037
27,24.96176052093506
28,23.79786491394043
29,24.52345085144043
30,23.4509859085083
31,24.233463287353516
32,24.67197895050049
33,25.101704597473145
34,25.523128509521484
35,23.13211441040039
36,27.654932022094727
37,24.72428607940674
38,25.149311065673828
39,25.952305793762207
40,26.38621997833252
41,26.811092376708984
42,27.247020721435547
43,24.868901252746582
44,25.302876472473145
45,27.682788848876953
46,25.11472797393799
47,25.625743865966797
48,26.51530933380127
49,27.026966094970703
50,28.82979679107666
51,29.056736946105957
52,26.85106372833252
53,25.365619659423828
54,27.89732837677002
55,28.78245258331299
56,29.3059663772583
57,29.8297700881958
58,27.264195442199707
59,24.932927131652832
60,25.123559951782227
61,25.67247200012207
62,26.22944164276123
63,27.139628410339355
64,27.688441276550293
65,25.174174308776855
66,25.71562385559082
67,26.283686637878418
68,27.175233840942383
69,27.72441291809082
70,25.210176467895508
71,25.759714126586914
72,26.326662063598633
73,27.22025489807129
74,25.744253158569336
75,26.39940071105957
76,27.045808792114258
77,25.086992263793945
78,25.742907524108887
79,26.389445304870605
80,27.036112785339355
81,25.069917678833008
82,25.724894523620605
83,26.36309242248535
84,27.018664360046387
85,29.38930034637451
86,30.03129005432129
87,27.719018936157227
88,28.378512382507324
89,28.791314125061035
90,29.487170219421387
91,30.247827529907227
92,28.1723575592041
93,28.941484451293945
94,30.08003520965576
95,27.99747657775879
96,28.76732063293457
97,29.536752700805664
98,27.46336555480957
99,28.60279369354248
100,29.36406135559082
101,30.141993522644043
102,28.05985450744629
103,29.199564933776855
104,20.880006790161133
105,21.332749366760254
106,22.155884742736816
107,22.617745399475098
108,23.088106155395508
109,23.550722122192383
110,21.215195655822754
111,21.687097549438477
112,22.140992164611816
113,22.605828285217285
114,23.43540382385254
115,20.739602088928223
116,21.20223331451416
117,22.034669876098633
118,22.49736976623535
119,20.892136573791504
120,21.79891300201416
121,22.345017433166504
122,22.89891242980957
123,23.436074256896973
124,21.286890029907227
125,21.82485294342041
126,22.379159927368164
127,23.287607192993164
128,23.834184646606445
129,21.316370010375977
130,21.854317665100098
131,22.771501541137695
132,23.309868812561035
133,24.423534393310547
134,21.960702896118164
135,22.597009658813477
136,23.224617958068848
137,21.083505630493164
138,21.889711380004883
139,22.51753330230713
140,23.153244972229004
141,25.492509841918945
142,23.15837287902832
143,23.789803504943848
144,24.798662185668945
145,25.43828773498535
146,23.10508155822754
147,23.744997024536133
148,23.742725372314453
149,23.051820755004883
150,23.69181251525879
151,24.694055557250977
152,25.334726333618164
153,23.00225257873535
154,24.00506019592285
155,24.64549446105957
156,25.287050247192383
157,25.91933536529541
158,23.95040988922119
159,24.600221633911133
160,25.233162879943848
161,25.93808937072754
162,23.90695285797119
163,25.020647048950195
164,25.96465492248535
165,23.977845191955566
166,24.743989944458008
167,25.502580642700195
168,23.757851600646973
169,24.52458381652832
170,25.27388095855713
171,26.032410621643066
172,24.197335243225098
173,25.05722141265869
174,25.81562900543213
175,23.72054386138916
176,24.84085178375244
177,25.59925937652588
178,24.108452796936035
179,25.017900466918945
180,25.911561012268066
181,24.28884983062744
182,25.365334510803223
183,26.266457557678223
184,24.456955909729004
185,25.359436988830566
186,23.9204044342041
187,24.822633743286133
188,25.717141151428223
189,23.917436599731445
190,25.172181129455566
191,26.083269119262695
192,24.266343116760254
193,26.803715705871582
194,25.618088722229004
195,26.672432899475098
196,25.16842746734619
197,26.223938941955566
198,24.721131324768066
199,26.137673377990723
200,24.63503360748291
201,25.698450088500977
202,26.744683265686035
203,25.603280067443848
204,26.66685676574707
205,25.16416358947754
206,28.867788314819336
207,41.61972236633301
208,21.888063430786133
209,22.74971103668213
210,23.981072425842285
211,22.11790657043457
212,22.98061466217041
213,23.859811782836914
214,22.341485023498535
215,23.221284866333008
216,24.09184455871582
217,22.472383499145508
218,23.452547073364258
219,24.3233585357666
220,22.44624423980713
221,23.678940773010254
222,22.68062400817871
223,24.222451210021973
224,22.544343948364258
225,23.50785255432129
226,21.857423782348633
227,23.136879920959473
228,24.10006046295166
229,22.41413974761963
230,23.747514724731445
231,22.061708450317383
232,23.016724586486816
233,24.342324256896973
234,22.66526222229004
235,23.629175186157227
236,21.945009231567383
237,23.104230880737305
238,24.179792404174805
239,23.079015731811523
240,24.146145820617676
241,22.692785263061523
242,23.759915351867676
243,22.498022079467773
244,23.74384117126465
245,22.273022651672363
246,23.3490571975708
247,24.425259590148926
248,23.3261079788208
249,24.411611557006836
250,22.951627731323242
251,24.02895164489746
252,24.268288612365723
253,23.058053970336914
254,24.615159034729004
255,23.419023513793945
256,24.6237735748291
257,23.41948127746582
258,22.56918430328369
259,23.78263282775879
260,22.56979465484619
261,24.136338233947754
262,25.82468605041504
263,24.771738052368164
264,26.331795692443848
265,25.143800735473633
266,26.342476844787598
267,25.461301803588867
268,23.863621711730957
269,25.245100021362305
270,26.249539375305176
271,24.67012596130371
272,25.68219566345215
273,24.095746994018555
274,25.469144821166992
275,23.8744478225708
276,24.895261764526367
277,26.270055770874023
278,24.673542976379395
279,25.687634468078613
280,24.1106014251709
281,25.4863338470459
282,24.49271583557129
283,25.978120803833008
284,24.61313819885254
285,25.728501319885254
286,24.365281105041504
287,25.859392166137695
288,24.486550331115723
289,25.611680030822754
290,24.602258682250977
291,25.734490394592285
292,24.37950325012207
293,25.496575355529785
294,24.5026798248291
295,25.620247840881348
296,48.097463607788086
297,25.788113594055176
298,24.408352851867676
299,25.53346061706543
300,24.145337104797363
301,25.6239595413208
302,24.254270553588867
303,25.36266040802002
304,26.489004135131836
305,25.315725326538086
306,24.095678329467773
307,25.21382713317871
308,26.32348346710205
309,24.98090934753418
310,26.435102462768555
311,26.390140533447266
312,27.273690223693848
313,42.68477725982666
314,59.33337116241455
315,60.43643283843994
316,59.11690044403076
317,61.13166618347168
318,59.91891860961914
319,58.998300552368164
320,61.173696517944336
321,60.16365146636963
322,59.011502265930176
323,60.87698173522949
324,60.238847732543945
325,59.184630393981934
326,56.03648662567139
327,56.932302474975586
328,57.846333503723145
329,55.852561950683594
330,56.78087520599365
331,57.793100357055664
332,55.904168128967285
333,56.85615825653076
334,57.79422950744629
335,58.58844566345215
336,56.68113708496094
337,57.509989738464355
338,58.53912925720215
339,56.138726234436035
340,57.50833988189697
341,58.66942119598389
342,57.85133934020996
343,56.68045902252197
344,58.172181129455566
345,56.90676784515381
346,58.88460731506348
347,57.40808582305908
348,58.89011096954346
349,57.553619384765625
350,59.18390941619873
351,58.31080722808838
352,58.6720552444458
353,58.80866050720215
354,58.71148204803467
355,58.93522262573242
356,57.54522514343262
357,59.10085201263428
358,58.955204010009766
359,58.74733543395996
360,58.50783061981201
361,58.65542125701904
362,58.413655281066895
363,58.28864288330078
364,58.182549476623535
365,58.41982078552246
366,58.353187561035156
367,58.21658420562744
368,58.46768760681152
369,58.394497871398926
370,58.35709476470947
371,58.30923843383789
372,55.70486545562744
373,56.44858646392822
374,57.32523536682129
375,58.32409191131592
376,55.674981117248535
377,56.39929008483887
378,57.28148651123047
379,58.021827697753906
380,55.800843238830566
381,56.524250984191895
382,57.23353672027588
383,57.982826232910156
384,55.42709159851074
385,56.5453519821167
386,58.52421569824219
387,56.69044589996338
388,58.02320194244385
389,56.649417877197266
390,57.858558654785156
391,56.57218265533447
392,57.76109313964844
393,57.12918281555176
394,58.41103649139404
395,56.58952522277832
396,57.87011432647705
397,59.093624114990234
398,57.418335914611816
399,56.189345359802246
400,56.65048694610596
401,56.53289031982422
402,57.88568592071533
403,56.61502265930176
404,58.024352073669434
405,56.39779567718506
406,57.84829139709473
407,56.10165023803711
408,57.59023666381836
409,56.27095413208008
410,57.93643093109131
411,56.40524482727051
412,57.80430793762207
413,56.2227087020874
414,57.72330856323242
415,82.0274305343628
416,57.42426586151123
417,56.03036308288574
418,57.487117767333984
419,56.48633670806885
420,58.0953483581543
421,56.75863170623779
422,58.18546199798584
423,57.309502601623535
424,58.77086353302002
425,57.533185958862305
426,56.050092697143555
427,57.6558313369751
428,56.60795211791992
429,58.388997077941895
430,58.487000465393066
431,58.35510730743408
432,57.8001823425293
433,57.61729717254639
434,57.12434005737305
435,56.62596797943115
436,59.19978618621826
437,58.68591785430908
438,58.32883071899414
439,57.83418941497803
440,57.70382213592529
441,57.18501663208008
442,56.74060916900635
443,58.73232936859131
444,58.903398513793945
445,58.24540996551514
446,58.05975914001465
447,57.71392822265625
448,57.18306636810303
449,59.29331588745117
450,58.88283348083496
451,58.724666595458984
452,58.16865825653076
453,57.74390506744385
454,57.28918647766113
455,57.19947528839111
456,59.38111877441406
457,58.967308044433594
458,58.59644317626953
459,58.57946968078613
460,59.485795974731445
461,58.51552486419678
462,57.313178062438965
463,56.28099727630615
464,58.25181007385254
465,57.24123668670654
466,56.213765144348145
467,58.013105392456055
468,57.259812355041504
469,56.31258296966553
470,58.15174579620361
471,56.996665954589844
472,56.4124116897583
473,58.163039207458496
474,57.21024131774902
475,58.07894420623779
476,57.77529430389404
477,57.69729804992676
478,57.51276111602783
479,57.07657241821289
480,56.86882495880127
481,56.854567527770996
482,59.20246696472168
483,58.86784267425537
484,58.590291023254395
485,58.31204319000244
486,58.408446311950684
487,58.12601089477539
488,57.85782718658447
489,57.607147216796875
490,59.09040451049805
491,58.876675605773926
492,59.17294406890869
493,59.05203342437744
494,58.81890392303467
495,58.75454902648926
496,58.632925033569336
497,58.99354553222656
498,58.84230327606201
499,58.84255790710449
500,58.728596687316895
501,58.9209041595459
502,58.81461524963379
503,58.78268909454346
504,59.118255615234375
505,57.731324195861816
506,58.087740898132324
507,58.06142330169678
508,58.09485340118408
509,58.36172676086426
510,58.36808967590332
511,58.23593997955322
512,58.18564701080322
513,58.56660461425781
514,58.498074531555176
515,58.44120502471924
516,58.8165283203125
517,58.730506896972656
518,58.7990779876709
519,71.78784465789795
520,58.21014881134033
521,58.568838119506836
522,59.23224639892578
523,57.156206130981445
524,57.47526264190674
525,57.740943908691406
526,57.21778964996338
527,59.038970947265625
528,58.448758125305176
529,57.733147621154785
530,57.37046718597412
531,56.729021072387695
532,58.7492618560791
533,58.45504951477051
534,58.90962886810303
535,59.396103858947754
536,59.38934326171875
537,59.50423812866211
538,59.48972702026367
539,57.421390533447266
540,57.61794471740723
541,57.722750663757324
542,57.880425453186035
543,58.29708194732666
544,58.46112632751465
545,58.708930015563965
546,58.77013397216797
547,58.94492149353027
548,59.47031497955322
549,57.45298194885254
550,58.170552253723145
551,58.35604763031006
