elapsed [sec],memory usage (rss) [MB]
0,189.484375
1,194.984375
2,196.859375
3,198.734375
4,200.734375
5,202.734375
6,204.734375
7,144.0859375
8,144.0859375
9,144.0859375
10,144.0859375
11,144.0859375
12,144.0859375
13,146.49609375
14,146.49609375
15,146.49609375
16,146.49609375
17,146.49609375
18,146.69140625
19,146.69140625
20,148.69140625
21,150.69140625
22,150.69140625
23,150.69140625
24,153.65234375
25,153.65234375
26,153.65234375
27,153.65234375
28,153.65234375
29,153.65234375
30,170.109375
31,170.109375
32,170.109375
33,170.109375
34,154.50390625
35,154.50390625
36,157.12109375
37,157.12109375
38,157.12109375
39,157.12109375
40,157.12109375
41,157.12109375
42,146.484375
43,151.984375
44,153.984375
45,153.984375
46,153.984375
47,153.984375
48,152.38671875
49,152.38671875
50,152.38671875
51,154.13671875
52,154.13671875
53,154.13671875
54,160.16796875
55,160.16796875
56,160.16796875
57,158.203125
58,160.203125
59,162.078125
60,163.00390625
61,163.00390625
62,163.00390625
63,163.00390625
64,141.3828125
65,141.3828125
66,149.59765625
67,149.59765625
68,147.71484375
69,147.71484375
70,147.71484375
71,149.71484375
72,145.30859375
73,147.18359375
74,147.18359375
75,147.18359375
76,147.18359375
77,147.18359375
78,148.53125
79,148.53125
80,148.5390625
81,148.5390625
82,148.5390625
83,148.5390625
84,147.234375
85,147.234375
86,147.234375
87,147.234375
88,147.234375
89,147.234375
90,146.62890625
91,146.62890625
92,146.62890625
93,146.62890625
94,146.62890625
95,146.62890625
96,148.1640625
97,150.1640625
98,152.1640625
99,152.1640625
100,152.1640625
101,152.1640625
102,149.92578125
103,149.92578125
104,149.92578125
105,149.92578125
106,149.92578125
107,149.92578125
108,154.53515625
109,156.609375
110,156.609375
111,155.46875
112,157.34375
113,159.21875
114,161.21875
115,159.2578125
116,161.2578125
117,163.2578125
118,165.2578125
119,155.4453125
120,157.4453125
121,159.4453125
122,157.8203125
123,153.14453125
124,153.14453125
125,155.01953125
126,157.01953125
127,157.01953125
128,157.01953125
129,157.01953125
130,159.01953125
131,161.01953125
132,163.01953125
133,163.01953125
134,163.01953125
135,163.01953125
136,163.01953125
137,163.01953125
138,174.546875
139,174.546875
140,174.546875
141,174.546875
142,174.546875
143,174.546875
144,174.546875
145,174.546875
146,174.546875
147,174.546875
148,162.921875
149,162.921875
150,162.921875
151,162.921875
152,162.921875
153,162.921875
154,164.796875
155,166.796875
156,168.796875
157,170.796875
158,172.796875
159,174.796875
160,176.796875
161,178.671875
162,180.546875
163,182.546875
164,184.671875
165,186.671875
166,188.671875
167,190.671875
168,192.671875
169,194.671875
170,140.5390625
171,140.5390625
172,140.5390625
