elapsed [sec],memory usage (rss) [MB]
0,53.9453125
1,61.12890625
2,64.1796875
3,65.3046875
4,63.8359375
5,74.51171875
6,80.3671875
7,90.2421875
8,92.078125
9,95.203125
10,97.3359375
11,101.16796875
12,101.16796875
13,101.54296875
14,102.91796875
15,109.484375
16,109.109375
17,109.109375
18,103.48046875
19,106.23046875
20,104.00390625
21,104.0859375
22,98.22265625
23,103.22265625
24,104.59765625
25,106.09765625
26,104.359375
27,104.359375
28,106.53125
29,106.53125
30,108.76171875
31,95.16015625
32,96.38671875
33,103.4453125
34,98.6484375
35,106.46875
36,107.59375
37,95.19140625
38,96.69140625
39,98.06640625
40,98.59765625
41,99.8671875
42,101.1171875
43,97.4296875
44,98.8046875
45,103.9296875
46,105.1796875
47,106.04296875
48,104.75
49,105.75
50,100.34765625
51,101.55859375
52,100.07421875
53,100.07421875
54,100.07421875
55,100.07421875
56,99.87890625
57,101.12890625
58,102.50390625
59,105.40625
60,106.39453125
61,107.64453125
62,109.76953125
63,96.93359375
64,103.68359375
65,105.18359375
66,102.7109375
67,103.046875
68,104.421875
69,105.671875
70,107.046875
71,108.421875
72,109.796875
73,99.9765625
74,101.90625
75,101.88671875
76,102.26171875
77,101.87109375
78,101.87109375
79,107.66015625
80,103.00390625
81,104.37890625
82,107.125
83,107.75
84,107.75
85,106.37109375
86,106.37109375
87,106.49609375
88,106.2421875
89,105.4296875
90,96.2734375
91,98.625
92,99.8671875
93,101.2421875
94,106.58984375
95,105.83984375
96,101.296875
97,102.421875
98,103.671875
99,104.19140625
100,94.08203125
101,95.33203125
102,96.70703125
103,97.37890625
104,95.96875
105,95.96875
106,99.5859375
107,101.0859375
108,102.4453125
109,97.8125
110,99.0625
111,100.4375
112,101.8125
113,103.0625
114,104.3125
115,94.48046875
116,95.73046875
117,96.73046875
118,97.76171875
119,97.76171875
120,97.6328125
121,97.6328125
122,97.2578125
123,103.9375
124,105.3125
125,100.4921875
126,101.9921875
127,103.1171875
128,104.4921875
129,94.6640625
130,96.0390625
131,97.2890625
132,100.2890625
133,103.12109375
134,99.80859375
135,101.80859375
136,98.671875
137,98.671875
138,97.796875
139,98.796875
140,98.671875
141,98.671875
142,98.671875
143,98.671875
144,100.91015625
145,100.53515625
146,100.53515625
147,100.91015625
148,99.8125
149,99.8125
150,99.8125
151,99.6875
152,99.8125
153,99.8125
154,99.8125
155,102.9375
156,103.4375
157,103.4375
158,103.4375
159,103.4375
160,99.5
161,101.5
162,98.11328125
163,98.11328125
164,101.73828125
165,99.95703125
166,101.33203125
167,102.83203125
168,102.16015625
169,103.53515625
170,104.00390625
171,102.12890625
172,105.37890625
173,105.69140625
174,107.06640625
175,101.3515625
176,101.3515625
177,99.5625
178,99.5625
179,98.73046875
180,98.73046875
181,96.84375
182,96.84375
183,96.71875
184,99.84375
185,99.94921875
186,96.4375
187,97.6875
188,97.6875
189,97.6875
190,98.35546875
191,101.73046875
192,105.03515625
193,106.28515625
194,104.3359375
195,102.4375
196,99.4296875
197,99.4296875
198,98.8359375
199,98.8359375
200,98.7109375
201,98.578125
202,98.828125
203,98.828125
204,98.828125
205,98.828125
206,98.71484375
207,101.76953125
208,100.62109375
209,101.87109375
210,97.375
211,96.44140625
212,97.81640625
213,98.94140625
214,92.73046875
215,94.10546875
216,95.23046875
217,99.10546875
218,98.94921875
219,98.94921875
220,95.859375
221,98.328125
222,98.328125
223,98.328125
224,95.421875
225,95.796875
226,95.48828125
227,96.11328125
228,96.11328125
229,96.11328125
230,95.8359375
231,95.9609375
232,95.9609375
233,95.9609375
234,95.70703125
235,95.95703125
236,97.85546875
237,97.85546875
238,99.53515625
239,101.03515625
240,101.03515625
241,101.03515625
242,101.03515625
243,100.52734375
244,101.65234375
245,100.140625
246,96.953125
247,100.578125
248,101.828125
249,103.078125
250,98.859375
251,99.796875
252,99.55859375
253,100.93359375
254,95.9921875
255,95.9921875
256,95.9921875
257,95.9921875
258,95.5859375
259,95.5859375
260,96.0859375
261,96.0859375
262,96.0859375
263,96.0859375
264,96.0859375
265,97.80859375
266,96.25
267,96.11328125
268,96.046875
269,97.01953125
270,97.01953125
271,96.0
272,95.74609375
273,95.99609375
274,97.87109375
275,101.12109375
276,102.37109375
277,96.72265625
278,100.09765625
279,99.05859375
280,99.2578125
281,99.2578125
282,99.2578125
283,97.25
284,97.25
285,100.625
286,98.2578125
287,98.2578125
288,98.2578125
289,97.32421875
290,97.32421875
291,100.94921875
292,99.16015625
293,100.53515625
294,101.28515625
295,102.40234375
296,102.40234375
297,98.85546875
298,98.85546875
299,98.85546875
300,98.85546875
301,101.73046875
302,102.85546875
303,102.85546875
304,102.85546875
305,102.85546875
306,99.85546875
307,102.10546875
308,98.83984375
309,98.83984375
310,92.63671875
311,94.88671875
312,113.453125
313,145.1953125
314,205.640625
315,216.32421875
316,220.07421875
317,228.82421875
318,233.3671875
319,230.93359375
320,231.05859375
321,232.05859375
322,233.16796875
323,235.41796875
324,269.4609375
325,285.87109375
326,291.29296875
327,293.265625
328,289.4140625
329,290.91015625
330,294.41015625
331,286.984375
332,289.11328125
333,291.48828125
334,293.73046875
335,296.23046875
336,298.60546875
337,301.10546875
338,303.23046875
339,304.85546875
340,304.85546875
341,340.4609375
342,327.5546875
343,329.921875
344,327.83203125
345,329.33203125
346,329.33203125
347,301.81640625
348,301.81640625
349,302.06640625
350,303.19140625
351,303.19140625
352,303.31640625
353,288.51171875
354,288.26171875
355,288.26171875
356,288.51171875
357,313.2421875
358,324.1171875
359,323.76953125
360,321.99609375
361,316.11328125
362,303.73046875
363,303.73046875
364,303.60546875
365,305.85546875
366,305.85546875
367,305.85546875
368,306.23046875
369,305.71484375
370,305.83984375
371,306.5859375
372,262.51953125
373,247.79296875
374,294.8671875
375,280.6796875
376,278.375
377,280.5
378,282.375
379,284.3515625
380,268.4296875
381,268.5546875
382,271.6796875
383,276.6796875
384,279.1796875
385,281.5546875
386,284.3046875
387,286.3046875
388,288.6796875
389,290.9296875
390,293.98046875
391,299.9921875
392,309.875
393,307.78125
394,305.47265625
395,307.67578125
396,295.1171875
397,295.4296875
398,298.1796875
399,292.4921875
400,292.4921875
401,292.3671875
402,289.39453125
403,289.26953125
404,289.265625
405,289.265625
406,288.890625
407,338.61328125
408,320.37890625
409,322.9609375
410,322.4765625
411,314.4140625
412,300.85546875
413,300.2421875
414,300.2421875
415,302.8671875
416,302.8671875
417,302.8671875
418,302.9375
419,302.79296875
420,302.01953125
421,303.14453125
422,302.9765625
423,287.30859375
424,340.67578125
425,320.1015625
426,319.83984375
427,315.6328125
428,310.04296875
429,308.88671875
430,309.01171875
431,311.38671875
432,267.72265625
433,269.46875
434,271.71875
435,274.71875
436,276.84375
437,277.453125
438,279.44140625
439,281.81640625
440,310.0703125
441,289.8515625
442,290.65234375
443,292.27734375
444,289.890625
445,285.921875
446,288.046875
447,291.38671875
448,296.13671875
449,298.38671875
450,301.01171875
451,303.63671875
452,305.88671875
453,308.13671875
454,308.76171875
455,308.76171875
456,328.703125
457,316.1640625
458,328.1484375
459,327.36328125
460,316.6953125
461,316.4140625
462,306.375
463,306.375
464,306.375
465,306.5
466,306.375
467,306.5
468,306.75
469,306.47265625
470,306.47265625
471,262.671875
472,264.546875
473,303.890625
474,276.921875
475,284.07421875
476,285.94921875
477,288.19921875
478,275.921875
479,274.34765625
480,276.72265625
481,279.22265625
482,281.97265625
483,284.47265625
484,286.59765625
485,288.84765625
486,290.84765625
487,293.84765625
488,295.97265625
489,277.38671875
490,326.109375
491,311.60546875
492,313.59375
493,315.59375
494,310.609375
495,310.7578125
496,313.1328125
497,313.8828125
498,314.0078125
499,314.0078125
500,314.0078125
501,314.0078125
502,314.5078125
503,314.5078125
504,314.5078125
505,314.6328125
506,343.96875
507,316.55859375
508,323.546875
509,323.546875
510,312.859375
511,312.734375
512,313.984375
513,314.234375
514,314.234375
515,313.96875
516,313.84375
517,313.84375
518,314.09375
519,314.09375
520,314.09375
521,314.09375
522,290.44140625
523,342.89453125
524,326.83984375
525,321.38671875
526,315.015625
527,315.015625
528,316.515625
529,316.515625
530,316.515625
531,316.640625
532,316.640625
533,316.640625
534,316.640625
535,316.640625
536,316.890625
537,317.01171875
538,317.01171875
539,296.4609375
540,347.65234375
541,326.375
542,327.71875
543,327.84375
544,328.21875
545,328.21875
546,328.21875
547,328.21875
548,328.0859375
549,328.0859375
550,328.0859375
551,327.9453125
552,328.1953125
553,328.1953125
554,328.3203125
555,328.4453125
556,291.90234375
557,344.20703125
558,329.3203125
559,328.203125
560,328.203125
561,317.5078125
562,317.5078125
563,317.7578125
564,317.7578125
565,317.5078125
566,317.6328125
567,317.7578125
568,317.7578125
569,317.8828125
570,317.8828125
571,318.0078125
572,318.0078125
573,292.1796875
574,350.515625
575,326.41015625
576,326.02734375
577,326.02734375
578,326.02734375
579,326.02734375
580,326.01953125
581,326.14453125
582,326.14453125
583,326.14453125
584,326.89453125
585,326.89453125
586,326.74609375
587,326.74609375
588,326.74609375
589,326.609375
590,302.453125
591,344.140625
592,344.59375
593,360.4453125
594,364.4453125
595,373.4453125
596,378.4453125
597,351.45703125
598,351.45703125
599,351.45703125
600,351.1875
601,351.1875
602,351.80859375
603,350.8828125
604,351.2578125
605,355.1328125
606,357.6875
607,359.9140625
608,420.015625
609,409.8359375
610,398.26953125
611,383.4140625
612,382.75390625
613,382.35546875
614,388.10546875
615,353.1328125
616,353.1328125
617,353.1328125
618,353.1328125
619,344.0
620,343.625
621,341.26953125
622,340.60546875
623,344.35546875
624,344.60546875
625,409.57421875
626,394.93359375
627,395.72265625
628,395.08984375
629,394.66796875
630,394.66796875
631,396.390625
632,369.64453125
633,369.30859375
634,369.18359375
635,369.05859375
636,369.93359375
637,369.43359375
638,369.43359375
639,367.703125
640,370.203125
641,398.1953125
642,391.2265625
643,399.21484375
644,397.17578125
645,396.67578125
646,396.3203125
647,399.8203125
648,401.4453125
649,401.4453125
650,401.09375
651,400.109375
652,401.484375
653,401.23046875
654,401.23046875
655,401.23046875
656,401.60546875
657,400.96875
658,392.55078125
659,397.390625
660,403.94921875
661,404.9453125
662,399.2109375
663,382.859375
664,375.82421875
665,380.69921875
666,385.07421875
667,369.859375
668,369.859375
669,369.859375
670,362.93359375
671,362.53515625
672,362.02734375
673,362.02734375
674,362.77734375
675,361.4375
676,419.75390625
677,409.54296875
678,409.8203125
679,404.8515625
680,387.8828125
681,388.0078125
682,389.0078125
683,369.15625
684,369.15625
685,369.15625
686,369.15625
687,369.53125
688,368.484375
689,367.703125
690,367.953125
691,369.32421875
692,359.27734375
693,428.71875
694,406.265625
695,405.0859375
696,397.97265625
697,393.14453125
698,393.14453125
699,397.26953125
700,376.44140625
701,376.56640625
702,376.56640625
703,376.56640625
704,376.81640625
705,376.28515625
706,375.62109375
707,375.87109375
708,376.99609375
709,360.6640625
710,430.0234375
711,399.34765625
712,399.5859375
713,394.7734375
714,395.5234375
715,382.86328125
716,382.86328125
717,382.98828125
718,369.20703125
719,369.20703125
720,369.20703125
721,369.20703125
722,369.20703125
723,369.20703125
724,369.20703125
725,369.20703125
726,369.08203125
727,404.66015625
728,398.66796875
729,390.62109375
730,390.62109375
731,386.61328125
732,386.48828125
733,386.73828125
734,392.73828125
735,393.98828125
736,393.86328125
737,393.60546875
738,393.85546875
739,394.10546875
740,393.16015625
741,392.15625
742,393.78125
743,367.171875
744,422.859375
745,405.81640625
746,390.36328125
747,388.4921875
748,388.3671875
749,388.3671875
750,391.10546875
751,368.39453125
752,367.9296875
753,367.9296875
754,367.9296875
755,368.0546875
756,367.9296875
757,367.55078125
758,367.67578125
759,368.30078125
760,360.296875
761,421.95703125
762,400.19140625
763,408.14453125
764,408.14453125
765,409.01953125
766,386.04296875
767,386.04296875
768,386.04296875
769,389.41796875
770,363.4609375
